Directive,File,Line Number,Description
#define BUTTON_PRESS_TIME_ACTION      50,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,88,Defines a macro or constant (BUTTON_PRESS_TIME_ACTION)
#define BOARD_PWM_MAX                 1023,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,90,Defines a macro or constant (BOARD_PWM_MAX)
#define BOARD_LEDC_CHANNEL_1          1,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,92,Defines a macro or constant (BOARD_LEDC_CHANNEL_1)
#define BOARD_LEDC_CHANNEL_2          2,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,93,Defines a macro or constant (BOARD_LEDC_CHANNEL_2)
#define BOARD_LEDC_CHANNEL_3          3,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,94,Defines a macro or constant (BOARD_LEDC_CHANNEL_3)
#define BOARD_LEDC_TIMER_BITS         10,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,95,Defines a macro or constant (BOARD_LEDC_TIMER_BITS)
#define BOARD_LEDC_BASE_FREQ          12000,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,96,Defines a macro or constant (BOARD_LEDC_BASE_FREQ)
#if !defined(CONFIG_DEVICE_PREFIX),examples/Blynk.Edgent/Edgent_ESP32/Settings.h,98,Conditional compilation - evaluates compile-time expression - !defined(CONFIG_DEVICE_PREFIX)
"#define CONFIG_DEVICE_PREFIX          ""Blynk""",examples/Blynk.Edgent/Edgent_ESP32/Settings.h,99,Defines a macro or constant (CONFIG_DEVICE_PREFIX)
#endif,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,100,Ends conditional compilation block
#if !defined(CONFIG_AP_URL),examples/Blynk.Edgent/Edgent_ESP32/Settings.h,101,Conditional compilation - evaluates compile-time expression - !defined(CONFIG_AP_URL)
"#define CONFIG_AP_URL                 ""blynk.setup""",examples/Blynk.Edgent/Edgent_ESP32/Settings.h,102,Defines a macro or constant (CONFIG_AP_URL)
#endif,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,103,Ends conditional compilation block
#if !defined(CONFIG_DEFAULT_SERVER),examples/Blynk.Edgent/Edgent_ESP32/Settings.h,104,Conditional compilation - evaluates compile-time expression - !defined(CONFIG_DEFAULT_SERVER)
"#define CONFIG_DEFAULT_SERVER         ""blynk.cloud""",examples/Blynk.Edgent/Edgent_ESP32/Settings.h,105,Defines a macro or constant (CONFIG_DEFAULT_SERVER)
#endif,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,106,Ends conditional compilation block
#if !defined(CONFIG_DEFAULT_PORT),examples/Blynk.Edgent/Edgent_ESP32/Settings.h,107,Conditional compilation - evaluates compile-time expression - !defined(CONFIG_DEFAULT_PORT)
#define CONFIG_DEFAULT_PORT           443,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,108,Defines a macro or constant (CONFIG_DEFAULT_PORT)
#endif,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,109,Ends conditional compilation block
#define WIFI_CLOUD_MAX_RETRIES        500,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,111,Defines a macro or constant (WIFI_CLOUD_MAX_RETRIES)
#define WIFI_NET_CONNECT_TIMEOUT      50000,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,112,Defines a macro or constant (WIFI_NET_CONNECT_TIMEOUT)
#define WIFI_CLOUD_CONNECT_TIMEOUT    50000,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,113,Defines a macro or constant (WIFI_CLOUD_CONNECT_TIMEOUT)
"#define WIFI_AP_IP                    IPAddress(192, 168, 4, 1)",examples/Blynk.Edgent/Edgent_ESP32/Settings.h,114,Defines a macro or constant (WIFI_AP_IP)
"#define WIFI_AP_Subnet                IPAddress(255, 255, 255, 0)",examples/Blynk.Edgent/Edgent_ESP32/Settings.h,115,Defines a macro or constant (WIFI_AP_Subnet)
#define USE_PTHREAD,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,122,Defines a macro or constant (USE_PTHREAD)
#define BLYNK_NO_DEFAULT_BANNER,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,124,Defines a macro or constant (BLYNK_NO_DEFAULT_BANNER)
#if defined(APP_DEBUG),examples/Blynk.Edgent/Edgent_ESP32/Settings.h,126,Conditional compilation - evaluates compile-time expression - defined(APP_DEBUG)
#define DEBUG_PRINT(...)  BLYNK_LOG1(__VA_ARGS__),examples/Blynk.Edgent/Edgent_ESP32/Settings.h,127,Defines a macro or constant (DEBUG_PRINT)
#define DEBUG_PRINTF(...) BLYNK_LOG(__VA_ARGS__),examples/Blynk.Edgent/Edgent_ESP32/Settings.h,128,Defines a macro or constant (DEBUG_PRINTF)
#else,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,129,Else clause for conditional compilation
#define DEBUG_PRINT(...),examples/Blynk.Edgent/Edgent_ESP32/Settings.h,130,Defines a macro or constant (DEBUG_PRINT)
#define DEBUG_PRINTF(...),examples/Blynk.Edgent/Edgent_ESP32/Settings.h,131,Defines a macro or constant (DEBUG_PRINTF)
#endif,examples/Blynk.Edgent/Edgent_ESP32/Settings.h,132,Ends conditional compilation block
"#include ""user_interface.h""",examples/Blynk.Edgent/Edgent_ESP8266/BlynkEdgent.h,3,Includes the contents of a file (user_interface.h)
"#include ""Settings.h""",examples/Blynk.Edgent/Edgent_ESP8266/BlynkEdgent.h,9,Includes the contents of a file (Settings.h)
#include <BlynkSimpleEsp8266_SSL.h>,examples/Blynk.Edgent/Edgent_ESP8266/BlynkEdgent.h,10,Includes the contents of a file (BlynkSimpleEsp8266_SSL.h)
#if defined(BLYNK_USE_LITTLEFS),examples/Blynk.Edgent/Edgent_ESP8266/BlynkEdgent.h,12,Conditional compilation - evaluates compile-time expression - defined(BLYNK_USE_LITTLEFS)
#include <LittleFS.h>,examples/Blynk.Edgent/Edgent_ESP8266/BlynkEdgent.h,13,Includes the contents of a file (LittleFS.h)
#define BLYNK_FS LittleFS,examples/Blynk.Edgent/Edgent_ESP8266/BlynkEdgent.h,14,Defines a macro or constant (BLYNK_FS)
#elif defined(BLYNK_USE_SPIFFS),examples/Blynk.Edgent/Edgent_ESP8266/BlynkEdgent.h,15,Else-if for conditional compilation
#if defined(ESP32),examples/Blynk.Edgent/Edgent_ESP8266/BlynkEdgent.h,16,Conditional compilation - evaluates compile-time expression - defined(ESP32)
#include <SPIFFS.h>,examples/Blynk.Edgent/Edgent_ESP8266/BlynkEdgent.h,17,Includes the contents of a file (SPIFFS.h)
#elif defined(ESP8266),examples/Blynk.Edgent/Edgent_ESP8266/BlynkEdgent.h,18,Else-if for conditional compilation
#include <FS.h>,examples/Blynk.Edgent/Edgent_ESP8266/BlynkEdgent.h,19,Includes the contents of a file (FS.h)
#endif,examples/Blynk.Edgent/Edgent_ESP8266/BlynkEdgent.h,20,Ends conditional compilation block
#define BLYNK_FS SPIFFS,examples/Blynk.Edgent/Edgent_ESP8266/BlynkEdgent.h,21,Defines a macro or constant (BLYNK_FS)
#endif,examples/Blynk.Edgent/Edgent_ESP8266/BlynkEdgent.h,22,Ends conditional compilation block
#if defined(BLYNK_FS) && defined(ESP8266),examples/Blynk.Edgent/Edgent_ESP8266/BlynkEdgent.h,23,Conditional compilation - evaluates compile-time expression - defined(BLYNK_FS) && defined(ESP8266)
"#define BLYNK_FILE_READ  ""r""",examples/Blynk.Edgent/Edgent_ESP8266/BlynkEdgent.h,24,Defines a macro or constant (BLYNK_FILE_READ)
"#define BLYNK_FILE_WRITE ""w""",examples/Blynk.Edgent/Edgent_ESP8266/BlynkEdgent.h,25,Defines a macro or constant (BLYNK_FILE_WRITE)
#endif,examples/Blynk.Edgent/Edgent_ESP8266/BlynkEdgent.h,26,Ends conditional compilation block
#ifndef BLYNK_NEW_LIBRARY,examples/Blynk.Edgent/Edgent_ESP8266/BlynkEdgent.h,28,Conditional compilation - evaluates compile-time expression - ndef BLYNK_NEW_LIBRARY
"#error ""Old version of Blynk library is in use. Please replace it with the new one.""",examples/Blynk.Edgent/Edgent_ESP8266/BlynkEdgent.h,29,"Generates a compilation error with a message: ""Old version of Blynk library is in use. Please replace it with the new one."""
#endif,examples/Blynk.Edgent/Edgent_ESP8266/BlynkEdgent.h,30,Ends conditional compilation block
#if !defined(BLYNK_TEMPLATE_NAME) && defined(BLYNK_DEVICE_NAME),examples/Blynk.Edgent/Edgent_ESP8266/BlynkEdgent.h,32,Conditional compilation - evaluates compile-time expression - !defined(BLYNK_TEMPLATE_NAME) && defined(BLYNK_DEVICE_NAME)
#define BLYNK_TEMPLATE_NAME BLYNK_DEVICE_NAME,examples/Blynk.Edgent/Edgent_ESP8266/BlynkEdgent.h,33,Defines a macro or constant (BLYNK_TEMPLATE_NAME)
#endif,examples/Blynk.Edgent/Edgent_ESP8266/BlynkEdgent.h,34,Ends conditional compilation block
#if !defined(BLYNK_TEMPLATE_ID) || !defined(BLYNK_TEMPLATE_NAME),examples/Blynk.Edgent/Edgent_ESP8266/BlynkEdgent.h,36,Conditional compilation - evaluates compile-time expression - !defined(BLYNK_TEMPLATE_ID) || !defined(BLYNK_TEMPLATE_NAME)
"#error ""Please specify your BLYNK_TEMPLATE_ID and BLYNK_TEMPLATE_NAME""",examples/Blynk.Edgent/Edgent_ESP8266/BlynkEdgent.h,37,"Generates a compilation error with a message: ""Please specify your BLYNK_TEMPLATE_ID and BLYNK_TEMPLATE_NAME"""
#endif,examples/Blynk.Edgent/Edgent_ESP8266/BlynkEdgent.h,38,Ends conditional compilation block
#if defined(BLYNK_AUTH_TOKEN),examples/Blynk.Edgent/Edgent_ESP8266/BlynkEdgent.h,40,Conditional compilation - evaluates compile-time expression - defined(BLYNK_AUTH_TOKEN)
"#error ""BLYNK_AUTH_TOKEN is assigned automatically when using Blynk.Edgent, please remove it from the configuration""",examples/Blynk.Edgent/Edgent_ESP8266/BlynkEdgent.h,41,"Generates a compilation error with a message: ""BLYNK_AUTH_TOKEN is assigned automatically when using Blynk.Edgent, please remove it from the configuration"""
#endif,examples/Blynk.Edgent/Edgent_ESP8266/BlynkEdgent.h,42,Ends conditional compilation block
"#include ""BlynkState.h""",examples/Blynk.Edgent/Edgent_ESP8266/BlynkEdgent.h,46,Includes the contents of a file (BlynkState.h)
"#include ""ConfigStore.h""",examples/Blynk.Edgent/Edgent_ESP8266/BlynkEdgent.h,47,Includes the contents of a file (ConfigStore.h)
"#include ""ResetButton.h""",examples/Blynk.Edgent/Edgent_ESP8266/BlynkEdgent.h,48,Includes the contents of a file (ResetButton.h)
"#include ""ConfigMode.h""",examples/Blynk.Edgent/Edgent_ESP8266/BlynkEdgent.h,49,Includes the contents of a file (ConfigMode.h)
"#include ""Indicator.h""",examples/Blynk.Edgent/Edgent_ESP8266/BlynkEdgent.h,50,Includes the contents of a file (Indicator.h)
"#include ""OTA.h""",examples/Blynk.Edgent/Edgent_ESP8266/BlynkEdgent.h,51,Includes the contents of a file (OTA.h)
"#include ""Console.h""",examples/Blynk.Edgent/Edgent_ESP8266/BlynkEdgent.h,52,Includes the contents of a file (Console.h)
#ifdef BLYNK_PRINT,examples/Blynk.Edgent/Edgent_ESP8266/BlynkEdgent.h,68,Conditional compilation - evaluates compile-time expression - def BLYNK_PRINT
#endif,examples/Blynk.Edgent/Edgent_ESP8266/BlynkEdgent.h,85,Ends conditional compilation block
#ifdef BLYNK_FS,examples/Blynk.Edgent/Edgent_ESP8266/BlynkEdgent.h,107,Conditional compilation - evaluates compile-time expression - def BLYNK_FS
#endif,examples/Blynk.Edgent/Edgent_ESP8266/BlynkEdgent.h,109,Ends conditional compilation block
#if defined(APP_DEBUG),examples/Blynk.Edgent/Edgent_ESP8266/BlynkState.h,16,Conditional compilation - evaluates compile-time expression - defined(APP_DEBUG)
#endif,examples/Blynk.Edgent/Edgent_ESP8266/BlynkState.h,30,Ends conditional compilation block
#include <ESP8266WiFi.h>,examples/Blynk.Edgent/Edgent_ESP8266/ConfigMode.h,2,Includes the contents of a file (ESP8266WiFi.h)
#include <ESP8266WebServer.h>,examples/Blynk.Edgent/Edgent_ESP8266/ConfigMode.h,3,Includes the contents of a file (ESP8266WebServer.h)
#include <ESP8266HTTPUpdateServer.h>,examples/Blynk.Edgent/Edgent_ESP8266/ConfigMode.h,4,Includes the contents of a file (ESP8266HTTPUpdateServer.h)
#include <DNSServer.h>,examples/Blynk.Edgent/Edgent_ESP8266/ConfigMode.h,5,Includes the contents of a file (DNSServer.h)
#ifndef BLYNK_FS,examples/Blynk.Edgent/Edgent_ESP8266/ConfigMode.h,7,Conditional compilation - evaluates compile-time expression - ndef BLYNK_FS
#endif,examples/Blynk.Edgent/Edgent_ESP8266/ConfigMode.h,58,Ends conditional compilation block
#ifdef WIFI_CAPTIVE_PORTAL_ENABLE,examples/Blynk.Edgent/Edgent_ESP8266/ConfigMode.h,174,Conditional compilation - evaluates compile-time expression - def WIFI_CAPTIVE_PORTAL_ENABLE
#else,examples/Blynk.Edgent/Edgent_ESP8266/ConfigMode.h,177,Else clause for conditional compilation
#endif,examples/Blynk.Edgent/Edgent_ESP8266/ConfigMode.h,180,Ends conditional compilation block
#ifndef BLYNK_FS,examples/Blynk.Edgent/Edgent_ESP8266/ConfigMode.h,184,Conditional compilation - evaluates compile-time expression - ndef BLYNK_FS
#endif,examples/Blynk.Edgent/Edgent_ESP8266/ConfigMode.h,188,Ends conditional compilation block
#ifdef BLYNK_FS,examples/Blynk.Edgent/Edgent_ESP8266/ConfigMode.h,349,Conditional compilation - evaluates compile-time expression - def BLYNK_FS
#endif,examples/Blynk.Edgent/Edgent_ESP8266/ConfigMode.h,352,Ends conditional compilation block
#define CONFIG_FLAG_VALID       0x01,examples/Blynk.Edgent/Edgent_ESP8266/ConfigStore.h,2,Defines a macro or constant (CONFIG_FLAG_VALID)
#define CONFIG_FLAG_STATIC_IP   0x02,examples/Blynk.Edgent/Edgent_ESP8266/ConfigStore.h,3,Defines a macro or constant (CONFIG_FLAG_STATIC_IP)
#define BLYNK_PROV_ERR_NONE     0      // All good,examples/Blynk.Edgent/Edgent_ESP8266/ConfigStore.h,5,Defines a macro or constant (BLYNK_PROV_ERR_NONE)
"#define BLYNK_PROV_ERR_CONFIG   700    // Invalid config from app (malformed token,etc)",examples/Blynk.Edgent/Edgent_ESP8266/ConfigStore.h,6,Defines a macro or constant (BLYNK_PROV_ERR_CONFIG)
#define BLYNK_PROV_ERR_NETWORK  701    // Could not connect to the router,examples/Blynk.Edgent/Edgent_ESP8266/ConfigStore.h,7,Defines a macro or constant (BLYNK_PROV_ERR_NETWORK)
#define BLYNK_PROV_ERR_CLOUD    702    // Could not connect to the cloud,examples/Blynk.Edgent/Edgent_ESP8266/ConfigStore.h,8,Defines a macro or constant (BLYNK_PROV_ERR_CLOUD)
#define BLYNK_PROV_ERR_TOKEN    703    // Invalid token error (after connection),examples/Blynk.Edgent/Edgent_ESP8266/ConfigStore.h,9,Defines a macro or constant (BLYNK_PROV_ERR_TOKEN)
#define BLYNK_PROV_ERR_INTERNAL 704    // Other issues (i.e. hardware failure),examples/Blynk.Edgent/Edgent_ESP8266/ConfigStore.h,10,Defines a macro or constant (BLYNK_PROV_ERR_INTERNAL)
#include <EEPROM.h>,examples/Blynk.Edgent/Edgent_ESP8266/ConfigStore.h,101,Includes the contents of a file (EEPROM.h)
#define EEPROM_CONFIG_START 0,examples/Blynk.Edgent/Edgent_ESP8266/ConfigStore.h,102,Defines a macro or constant (EEPROM_CONFIG_START)
#include <Blynk/BlynkConsole.h>,examples/Blynk.Edgent/Edgent_ESP8266/Console.h,2,Includes the contents of a file (Blynk/BlynkConsole.h)
#ifdef BLYNK_PRINT,examples/Blynk.Edgent/Edgent_ESP8266/Console.h,8,Conditional compilation - evaluates compile-time expression - def BLYNK_PRINT
#endif,examples/Blynk.Edgent/Edgent_ESP8266/Console.h,10,Ends conditional compilation block
#ifdef BLYNK_FS,examples/Blynk.Edgent/Edgent_ESP8266/Console.h,123,Conditional compilation - evaluates compile-time expression - def BLYNK_FS
#endif,examples/Blynk.Edgent/Edgent_ESP8266/Console.h,127,Ends conditional compilation block
#ifdef BLYNK_FS,examples/Blynk.Edgent/Edgent_ESP8266/Console.h,130,Conditional compilation - evaluates compile-time expression - def BLYNK_FS
#endif,examples/Blynk.Edgent/Edgent_ESP8266/Console.h,201,Ends conditional compilation block
"#define BLYNK_FIRMWARE_VERSION        ""0.1.0""",examples/Blynk.Edgent/Edgent_ESP8266/Edgent_ESP8266.ino,27,Defines a macro or constant (BLYNK_FIRMWARE_VERSION)
#define BLYNK_PRINT Serial,examples/Blynk.Edgent/Edgent_ESP8266/Edgent_ESP8266.ino,29,Defines a macro or constant (BLYNK_PRINT)
#define APP_DEBUG,examples/Blynk.Edgent/Edgent_ESP8266/Edgent_ESP8266.ino,32,Defines a macro or constant (APP_DEBUG)
"#include ""BlynkEdgent.h""",examples/Blynk.Edgent/Edgent_ESP8266/Edgent_ESP8266.ino,40,Includes the contents of a file (BlynkEdgent.h)
#if defined(BOARD_LED_PIN_WS2812),examples/Blynk.Edgent/Edgent_ESP8266/Indicator.h,2,Conditional compilation - evaluates compile-time expression - defined(BOARD_LED_PIN_WS2812)
#include <Adafruit_NeoPixel.h>    // Library: https://github.com/adafruit/Adafruit_NeoPixel,examples/Blynk.Edgent/Edgent_ESP8266/Indicator.h,3,Includes the contents of a file (Adafruit_NeoPixel.h)
#endif,examples/Blynk.Edgent/Edgent_ESP8266/Indicator.h,6,Ends conditional compilation block
#if !defined(BOARD_LED_BRIGHTNESS),examples/Blynk.Edgent/Edgent_ESP8266/Indicator.h,10,Conditional compilation - evaluates compile-time expression - !defined(BOARD_LED_BRIGHTNESS)
#define BOARD_LED_BRIGHTNESS 255,examples/Blynk.Edgent/Edgent_ESP8266/Indicator.h,11,Defines a macro or constant (BOARD_LED_BRIGHTNESS)
#endif,examples/Blynk.Edgent/Edgent_ESP8266/Indicator.h,12,Ends conditional compilation block
#if defined(BOARD_LED_PIN_WS2812) || defined(BOARD_LED_PIN_R),examples/Blynk.Edgent/Edgent_ESP8266/Indicator.h,14,Conditional compilation - evaluates compile-time expression - defined(BOARD_LED_PIN_WS2812) || defined(BOARD_LED_PIN_R)
#define BOARD_LED_IS_RGB,examples/Blynk.Edgent/Edgent_ESP8266/Indicator.h,15,Defines a macro or constant (BOARD_LED_IS_RGB)
#endif,examples/Blynk.Edgent/Edgent_ESP8266/Indicator.h,16,Ends conditional compilation block
#define DIMM(x)    ((uint32_t)(x)*(BOARD_LED_BRIGHTNESS)/255),examples/Blynk.Edgent/Edgent_ESP8266/Indicator.h,18,Defines a macro or constant (DIMM)
"#define RGB(r,g,b) (DIMM(r) << 16 | DIMM(g) << 8 | DIMM(b) << 0)",examples/Blynk.Edgent/Edgent_ESP8266/Indicator.h,19,Defines a macro or constant (RGB)
#define TO_PWM(x)  ((uint32_t)(x)*(BOARD_PWM_MAX)/255),examples/Blynk.Edgent/Edgent_ESP8266/Indicator.h,20,Defines a macro or constant (TO_PWM)
"#if defined(BOARD_LED_PIN_WS2812)  // Addressable, NeoPixel RGB LED",examples/Blynk.Edgent/Edgent_ESP8266/Indicator.h,74,"Conditional compilation - evaluates compile-time expression - defined(BOARD_LED_PIN_WS2812)  // Addressable, NeoPixel RGB LED"
#elif defined(BOARD_LED_PIN_R)     // Normal RGB LED (common anode or common cathode),examples/Blynk.Edgent/Edgent_ESP8266/Indicator.h,86,Else-if for conditional compilation
#if BOARD_LED_INVERSE,examples/Blynk.Edgent/Edgent_ESP8266/Indicator.h,98,Conditional compilation - evaluates compile-time expression - BOARD_LED_INVERSE
#else,examples/Blynk.Edgent/Edgent_ESP8266/Indicator.h,102,Else clause for conditional compilation
#endif,examples/Blynk.Edgent/Edgent_ESP8266/Indicator.h,106,Ends conditional compilation block
#elif defined(BOARD_LED_PIN)       // Single color LED,examples/Blynk.Edgent/Edgent_ESP8266/Indicator.h,109,Else-if for conditional compilation
#if BOARD_LED_INVERSE,examples/Blynk.Edgent/Edgent_ESP8266/Indicator.h,116,Conditional compilation - evaluates compile-time expression - BOARD_LED_INVERSE
#else,examples/Blynk.Edgent/Edgent_ESP8266/Indicator.h,118,Else clause for conditional compilation
#endif,examples/Blynk.Edgent/Edgent_ESP8266/Indicator.h,120,Ends conditional compilation block
#else,examples/Blynk.Edgent/Edgent_ESP8266/Indicator.h,123,Else clause for conditional compilation
#warning Invalid LED configuration.,examples/Blynk.Edgent/Edgent_ESP8266/Indicator.h,125,Generates a compilation warning with a message: Invalid LED configuration.
#endif,examples/Blynk.Edgent/Edgent_ESP8266/Indicator.h,133,Ends conditional compilation block
#if defined(BOARD_LED_IS_RGB),examples/Blynk.Edgent/Edgent_ESP8266/Indicator.h,143,Conditional compilation - evaluates compile-time expression - defined(BOARD_LED_IS_RGB)
#else,examples/Blynk.Edgent/Edgent_ESP8266/Indicator.h,174,Else clause for conditional compilation
